bookName,bookPublisher,publishDate,bookPrice,commentScore,commentNum,intro
你当像鸟飞往你的山,南海出版公司,2019-10-20,59.00元,9.0,31620,我来自一个极少有人能想象的家庭，教育给了我新世界
孩子你慢慢来,生活·读书·新知三联书店,2009-12-1,28.00元,8.8,58122,我们现在怎样做母亲
美的历程,生活·读书·新知三联书店,2009-1-1,43.00元,9.2,14038,中国美学经典之作
國史大綱（上下）,商務印書館,2013-8,76.00元,9.3,11604,钱穆中国通史
史蒂夫·乔布斯传,中信出版社,2011-10-24,68.00元,8.7,45092,完美主义者的最高形态
爱的艺术,上海译文出版社,2008-4,15.00元,8.8,26850,谦恭地、勇敢地、真诚地和有纪律地爱他人
苏菲的世界,作家出版社,2007-10,26.00元,8.8,32957,哲学启蒙书
文学回忆录（全2册）,广西师范大学出版社,2013-1-10,98.00元,9.2,31632,木心留给世界的礼物
神雕侠侣,生活·读书·新知三联书店,1994-5,76.80元,8.9,76045,至情至性，情大于武
送你一颗子弹,上海三联书店,2010-1,25.00元,8.6,123606,在这本书里，被“审视”的东西杂七杂八
上帝掷骰子吗,辽宁教育出版社,2006-1,32.00元,9.2,20067,量子物理史话
史记（全十册）,中华书局,1982-11,125.00,9.5,15399,史家之绝唱，无韵之离骚
悲惨世界（上中下）,人民文学出版社,1992-6,66.00元,9.0,46280,现实主义与浪漫主义的至高杰作
看见,广西师范大学出版社,2013-1-1,39.80元,8.8,261669,在这里看见中国
许三观卖血记,南海出版公司,1998-9,16.80元,8.8,179506,以博大的温情描绘磨难中的人生
哭泣的骆驼,哈尔滨出版社,2003-6,15.80元,8.9,42404,沙漠中寻常的生与死
艺术的故事,广西美术出版社,2008-04,280.00,9.6,13213,从最早的洞窟绘画到当今的实验艺术
我也有一个梦想,生活·读书·新知三联书店,2004-08,25.00元,9.0,12493,在法治国家里，民众怎样运用法律
浪潮之巅,电子工业出版社,2011-8,55.00元,9.0,25141,了解IT领域的入门读物
月亮和六便士,上海译文出版社,2006-8,15.00元,9.0,115741,有多少人会经历顿悟，就有更少的人甘愿自我放逐
浮生六记,人民文学出版社,1999-1,5.70元,8.8,39014,苟不记之笔墨，未免有辜彼苍之厚
悉达多,上海人民出版社,2009-3,20.00,9.0,22610,在那最绝望的一刹那，他突然听到了生命之河永恒的声音……
彷徨,人民文学出版社,1973年3月,0.37元,8.9,19022,路漫漫其修远兮，吾将上下而求索
肖申克的救赎,人民文学出版社,2006-7,29.90元,9.1,78973,豆瓣电影Top1原著
灿烂千阳,上海人民出版社,2007-9,28.00元,8.8,86998,唯有希望与爱可以驱散阴霾
九州·缥缈录,人民文学出版社,2015-10,198.00元,8.9,3196,一轴腥风血雨的乱世长卷，中国版《冰与火之歌》
白鹿原,人民文学出版社,2012-9,39.00元,9.2,34377,一轴关于我们民族灵魂的现实主义画卷
万水千山走遍,哈尔滨出版社,2003-08,13.80,8.8,31943,从遥远的撒哈拉到敦煌戈壁
中国历代政治得失,生活·读书·新知三联书店,2001,12.00元,9.2,39236,一部简明的“中国政治制度史”
道德经精义,陕西人民出版社,1996-10,4.50元,9.4,12234,中国历史上首部完整的哲学著作
亲爱的安德烈,人民文学出版社,2008-12,26.00,8.6,98087,弭平代沟，跨越文化阻隔
卡拉马佐夫兄弟,上海译文出版社,2006-8,25.00元,9.4,13243,错综复杂的社会、家庭矛盾和人性悲剧
野草,人民文学出版社,1973-3,0.20元,9.3,9586,我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。
树上的男爵,译林出版社,2012-4-1,30.00元,9.1,20311,是不是真的只有先与人疏离，才能最终与他们在一起？
邓小平时代,生活·读书·新知三联书店,2013-1,88.00元,9.1,25095,个人命运背后的历史变局
目送,生活·读书·新知三联书店,2009-10,39.00元,8.6,177165,不必追
一个叫欧维的男人决定去死,四川文艺出版社,2015-12,35.00元,9.0,30555,这个发生在瑞典的故事，如生命庆典般绚丽斑斓
教父,译林出版社,1997-8,23.30元,9.0,29576,“教父三部曲”电影原著
爱你就像爱生命,上海锦绣文章出版社,2008-5,18.00元,8.8,78644,王小波与李银河的两地书
基督山伯爵,上海译文出版社,1991-12-1,43.90元,9.0,94189,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景
情书,天津人民出版社,2004-7,18.00元,8.6,82606,一场同名同姓的误会，两段可贵的爱情
呼兰河传,百花文艺出版社,2005-01,19.00,8.9,49537,萧红的童年往事
看不见的城市,译林出版社,2006-8,16.00元,8.8,32977,每一座城市都只在想象中耸立，又在描述中坍圮
追风筝的人,上海人民出版社,2006-5,29.00元,8.9,615091,为你，千千万万遍
东方快车谋杀案,人民文学出版社,2006-5,18.00元,9.0,89010,谋杀诡计惊人，波洛的抉择耐人寻味
海子的诗,人民文学出版社,1999-04,15.40,8.9,30788,关于衰老与死亡，你必须知道的常识
最好的告别,浙江人民出版社,2015-7-31,CNY 54.90,9.0,21913,武侠的解构，流氓的狂欢
鹿鼎记（全五册）,广州出版社 花城出版社,2008-3,108.00元,8.8,43175,一个淡泊清透的世界
野火集,文汇出版社,2005-8,25.00元,8.8,28768,中国人，你为什么不生气
飞鸟集,哈尔滨出版社,2004-6,16.80元,8.9,47284,哀而不伤
窗边的小豆豆,南海出版公司,2003-1,20.00元,8.7,147548,真正懂孩子的教育经
鼠疫,上海译文出版社,2013-8,34.00元,9.1,15566,用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理
万历十五年,生活·读书·新知三联书店,1997-5,18.00元,8.9,133731,见微知著，历史观的颠覆
人间词话,上海古籍出版社,1998-12-01,9.80元,9.0,36524,以新眼光评旧文学
梦里花落知多少,北京十月文艺出版社,2007-6,28.00元,8.8,70852,即使不能拥有完美的生活，所幸追求过完整的自我
昨日的世界,广西师范大学出版社,2004-5-1,32.00元,9.2,9025,一个高贵而残破的昨日镜像
嫌疑人X的献身,南海出版公司,2008-9,28.00,8.9,387355,数学好是一种极致的浪漫
斯通纳,上海人民出版社,2016-1,39.00元,8.8,30391,在纷扰中寻出一点闲静
球状闪电,四川科学技术出版社,2005-6,22.00元,8.7,49963,量子之外，没有真相
夹边沟记事,花城出版社,2008-09,34.00元,9.2,24766,一段尘封四十年的历史
寻路中国,上海译文出版社,2011-1,33.00元,9.0,39509,《纽约客》驻北京记者驾车漫游中国大陆的经历
经济学原理（上下）,机械工业出版社,2003-8,88.00元,9.1,13798,经济学家们的世界观
红楼梦,人民文学出版社,1996-12,59.70元,9.6,266127,都云作者痴，谁解其中味？
永恒的终结,江苏凤凰文艺出版社,2014-9-1,32.00元,9.0,21743,关于时间旅行的终极奥秘和恢宏构想
江城,上海译文出版社,2012-1,36.00元,9.0,34590,外国人眼中的涪陵
